exp,nu,noise_rel,tau,rmse_fwd,rmse_bwd,growth_ratio,skill,loss_rate,capacity,z_tau,verdict
exp1,0.0005,0.02,4.9998525372318925,1.8308916144557285e-13,9.20259495820163e+51,9.202594958201631e+63,0.0,1489.1400812332688,5524,1.347842290631402,Supported
exp1,0.0005,0.05,0.49974652130855146,1.8118667401404778e-14,759.1223803228222,759122380322822.2,0.04344677769732078,659.8968743047469,5524,0.05710594465772929,Supported
exp1,0.0005,0.05,0.7368873865154758,2.6745706903953796e-14,224752.90906046686,2.2475290906046688e+17,0.04344677769732078,681.1083997290613,5524,0.08691061598285667,Supported
exp1,0.0005,0.05,0.9740282517223996,3.527674722906541e-14,75825927.84622635,7.582592784622635e+19,0.04344677769732078,703.649305833658,5524,0.11868157099870083,Supported
exp1,0.0005,0.05,1.210373342213864,4.391679987401174e-14,27120872968.4976,2.71208729684976e+22,0.04344677769732078,727.4626623361967,5524,0.15247039550211758,Supported
exp1,0.0005,0.05,1.4475142074207885,5.2889106957458277e-14,10409120327002.068,1.0409120327002068e+25,0.04344677769732078,752.7492470887267,5524,0.1886812018685909,Supported
exp1,0.0005,0.05,1.683859297912253,6.141406852395034e-14,4049771321388187.0,4.049771321388187e+27,0.03946415640839971,779.4181999053932,5524,0.2282108285798463,Supported
exp1,0.0005,0.05,1.9210001631191769,7.002909484902712e-14,1.6448646530364792e+18,1.6448646530364793e+30,0.0,807.792503119291,5524,0.28091410757758983,Supported
exp1,0.0005,0.05,2.158141028326101,7.87734258074483e-14,6.789875059286137e+20,6.789875059286136e+32,0.0,838.0111651484661,5524,0.32739795034436364,Supported
exp1,0.0005,0.05,2.3944861188175657,8.755891767234539e-14,2.7791702371319287e+23,2.7791702371319287e+35,0.0,870.2701169277909,5524,0.37723564710451396,Supported
exp1,0.0005,0.05,2.6316269840244897,9.620087884612171e-14,1.1710976517338286e+26,1.1710976517338286e+38,0.0,905.1481660985764,5524,0.43121150225294974,Supported
exp1,0.0005,0.05,2.8687678492314137,1.0492537782453953e-13,4.968093749136796e+28,4.968093749136796e+40,0.0,942.9059937244925,5524,0.48967748002252376,Supported
exp1,0.0005,0.05,3.1051129397228783,1.1334030332941739e-13,2.075824746916682e+31,2.0758247469166822e+43,0.0,983.7255188815394,5524,0.552965032189477,Supported
